id,name,type,lat,lon,region,catalog_status,evaluation_mode,event_time,magnitude,magnitude_label
S0378b,S0378b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-20 13:08:30.0000 UTC,1.9,MW 1.9
T0378b,T0378b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-20 10:36:19.0000 UTC,,Magnitude not reported
T0378a,T0378a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-20 09:30:16.259 UTC,,Magnitude not reported
S0378a,S0378a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-20 07:53:37.0000 UTC,1.9,MW 1.9
S0377c,S0377c,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2019-12-19 11:56:19.719488 UTC,,Magnitude not reported
S0377b,S0377b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-19 10:49:52.539381 UTC,,Magnitude not reported
S0377a,S0377a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-19 10:00:20.136845 UTC,,Magnitude not reported
T0377a,T0377a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-19 07:08:51.0000 UTC,,Magnitude not reported
S0376b,S0376b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-18 11:48:47.578556 UTC,,Magnitude not reported
T0376b,T0376b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-18 09:25:13.0000 UTC,,Magnitude not reported
T0376a,T0376a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-18 08:08:09.258 UTC,,Magnitude not reported
S0376a,S0376a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-17 16:32:22.0000 UTC,1.4,MW 1.4
S0375a,S0375a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-17 10:13:55.0000 UTC,2.2,MW 2.2
T0375b,T0375b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-17 08:53:58.441 UTC,,Magnitude not reported
T0375a,T0375a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-17 08:47:02.0000 UTC,,Magnitude not reported
S0374a,S0374a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Reviewed,Manual,2019-12-16 11:40:12.759366 UTC,,Magnitude not reported
