Time	# Active Stations	ECNE (red > 0.6)	ECPN (red > 0.6)	EMFO (red > 0.6)	EPDN (red > 0.6)	EPLC (red > 0.6)	ESLN (red > 0.6)	ESPC (red > 0.6)	ESVO (red > 0.6)	
20210102_00:55	8	0	0	0	0	0	0	0	0	
20210102_01:00	8	0	0	0	0	0	0	0	0	
20210102_01:05	8	0	0	0	0	0	0	0	0	
20210102_01:10	8	0	0	0	0	0	0	0	0	
20210102_01:15	8	0	0	0	0	0	0	0	0	
20210102_01:20	8	0	0	0	0	0	0	0	0	
20210102_01:25	8	0	0	0	0	0	0	0	0	
20210102_01:30	8	0	0	0	0	0	0	0	0	
20210102_01:35	8	0	0	0	0	0	0	0	0	
20210102_01:40	8	0	0	0	0	0	0	0	0	
20210102_01:45	8	0	0	0	0	0	0	0	0	
20210102_01:50	8	0	0	0	0	0	0	0	0	
20210102_01:55	8	0	0	0	0	0	0	0	0	
20210102_02:00	8	0	0	0	0	0	0	0	0	
20210102_02:05	8	0	0	0	0	0	0	0	0	
20210102_02:10	8	0	0	0	0	0	0	0	0	
20210102_02:15	8	0	0	0	0	0	0	0	0	
20210102_02:20	8	0	0	0	0	0	0	0	0	
20210102_02:25	8	0	0	0	0	0	0	0	0	
20210102_02:30	8	0	0	0	0	0	0	0	0	
20210102_02:35	8	0	0	0	0	0	0	0	0	
20210102_02:40	8	0	0	0	0	0	0	0	0	
20210102_02:45	8	0	0	0	0	0	0	0	0	
20210102_02:50	8	0	0	0	0	0	0	0	0	
20210102_02:55	8	0	0	0	0	0	0	0	0	
20210102_03:00	8	0	0	0	0	0	0	0	0	
20210102_03:05	8	0	0	0	0	0	0	0	0	
20210102_03:10	8	0	0	0	0	0	0	0	0	
20210102_03:15	8	0	0	0	0	0	0	0	0	
20210102_03:20	8	0	0	0	0	0	0	0	0	
20210102_03:25	8	0	0	0	0	0	0	0	0	
20210102_03:30	8	0	0	0	0	0	0	0	0	
20210102_03:35	8	0	0	0	0	0	0	0	0	
20210102_03:40	8	0	0	0	0	0	0	0	0	
20210102_03:45	8	0	0	0	0	0	0	0	0	
20210102_03:50	8	0	0	0	0	0	0	0	0	
20210102_03:55	8	0	0	0	0	0	0	0	0	
20210102_04:00	8	0	0	0	0	0	0	0	0	
20210102_04:05	8	0	0	0	0	0	0	0	0	
20210102_04:10	8	0	0	0	0	0	0	0	0	
20210102_04:15	8	0	0	0	0	0	0	0	0	
20210102_04:20	8	0	0	0	0	0	0	0	0	
20210102_04:25	8	0	0	0	0	0	0	0	0	
20210102_04:30	8	0	0	0	0	0	0	0	0	
20210102_04:35	8	0	0	0	0	0	0	0	0	
20210102_04:40	8	0	0	0	0	0	0	0	0	
20210102_04:45	8	0	0	0	0	0	0	0	0	
20210102_04:50	8	0	0	0	0	0	0	0	0	
20210102_04:55	8	0	0	0	0	0	0	0	0	
20210102_05:00	8	0	0	0	0	0	0	0	0	
20210102_05:05	8	0	0	0	0	0	0	0	0	
20210102_05:10	8	0	0	0	0	0	0	0	0	
20210102_05:15	8	0	0	0	0	0	0	0	0	
20210102_05:20	8	0	0	0	0	0	0	0	0	
20210102_05:25	8	0	0	0	0	0	0	0	0	
20210102_05:30	8	0	0	0	0	0	0	0	0	
20210102_05:35	8	0	0	0	0	0	0	0	0	
20210102_05:40	8	0	0	0	0	0	0	0	0	
20210102_05:45	8	0	0	0	0	0	0	0	0	
20210102_05:50	8	0	0	0	0	0	0	0	0	
20210102_05:55	8	0	0	0	0	0	0	0	0	
20210102_06:00	8	0	0	0	0	0	0	0	0	
20210102_06:05	8	0	0	0	0	0	0	0	0	
20210102_06:10	8	0	0	0	0	0	0	0	0	
20210102_06:15	8	0	0	0	0	0	0	0	0	
20210102_06:20	8	0	0	0	0	0	0	0	0	
20210102_06:25	8	0	0	0	0	0	0	0	0	
20210102_06:30	8	0	0	0	0	0	0	0	0	
20210102_06:35	8	0	0	0	0	0	0	0	0	
20210102_06:40	8	0	0	0	0	0	0	0	0	
20210102_06:45	8	0	0	0	0	0	0	0	0	
20210102_06:50	8	0	0	0	0	0	0	0	0	
20210102_06:55	8	0	0	0	0	0	0	0	0	
20210102_07:00	8	0	0	0	0	0	0	0	0	
20210102_07:05	8	0	0	0	0	0	0	0	0	
20210102_07:10	8	0	0	0	0	0	0	0	0	
20210102_07:15	8	0	0	0	0	0	0	0	0	
20210102_07:20	8	0	0	0	0	0	0	0	0	
20210102_07:25	8	0	0	0	0	0	0	0	0	
20210102_07:30	8	0	0	0	0	0	0	0	0	
20210102_07:35	8	0	0	0	0	0	0	0	0	
20210102_07:40	8	0	0	0	0	0	0	0	0	
20210102_07:45	8	0	0	0	0	0	0	0	0	
20210102_07:50	8	0	0	0	0	0	0	0	0	
20210102_07:55	8	0	0	0	0	0	0	0	0	
20210102_08:00	8	0	0	0	0	0	0	0	0	
20210102_08:05	8	0	0	0	0	0	0	0	0	
20210102_08:10	8	0	0	0	0	0	0	0	0	
20210102_08:15	8	0	0	0	0	0	0	0	0	
20210102_08:20	8	0	0	0	0	0	0	0	0	
20210102_08:25	8	0	0	0	0	0	0	0	0	
20210102_08:30	8	0	0	0	0	0	0	0	0	
20210102_08:35	8	0	0	0	0	0	0	0	0	
20210102_08:40	8	0	0	0	0	0	0	0	0	
20210102_08:45	8	0	0	0	0	0	0	0	0	
20210102_08:50	8	0	0	0	0	0	0	0	0	
20210102_08:55	8	0	0	0	0	0	0	0	0	
20210102_09:00	8	0	0	0	0	0	0	0	0	
20210102_09:05	8	0	0	0	0	0	0	0	0	
20210102_09:10	8	0	0	0	0	0	0	0	0	
20210102_09:15	8	0	0	0	0	0	0	0	0	
20210102_09:20	8	0	0	0	0	0	0	0	0	
20210102_09:25	8	0	0	0	0	0	0	0	0	
20210102_09:30	8	0	0	0	0	0	0	0	0	
20210102_09:35	8	0	0	0	0	0	0	0	0	
20210102_09:40	8	0	0	0	0	0	0	0	0	
20210102_09:45	8	0	0	0	0	0	0	0	0	
20210102_09:50	8	0	0	0	0	0	0	0	0	
20210102_09:55	8	0	0	0	0	0	0	0	0	
20210102_10:00	8	0	0	0	0	0	0	0	0	
20210102_10:05	8	0	0	0	0	0	0	0	0	
20210102_10:10	8	0	0	0	0	0	0	0	0	
20210102_10:15	8	0	0	0	0	0	0	0	0	
20210102_10:20	8	0	0	0	0	0	0	0	0	
20210102_10:25	8	0	0	0	0	0	0	0	0	
20210102_10:30	8	0	0	0	0	0	0	0	0	
20210102_10:35	8	0	0	0	0	0	0	0	0	
20210102_10:40	8	0	0	0	0	0	0	0	0	
20210102_10:45	8	0	0	0	0	0	0	0	0	
20210102_10:50	8	0	0	0	0	0	0	0	0	
20210102_10:55	8	0	0	0	0	0	0	0	0	
