station,x,y,elevation,est. elevation,d_elevation,%error,type,x_model,y_model
EPDN,501761.416361188,4180296.72959398,2862,2578.0419921875,283.9580078125,9.92166344558001,SEISMIC,51761.416361188,55296.7295939801
ENIC,501764.731948444,4164764.23187827,877,825.87451171875,51.12548828125,5.82958817346066,SEISMIC,51764.731948444,39764.2318782699
EMNR,502640.344842282,4185844.37503325,1845,1701.01098632812,143.98901367188,7.80428258384174,SEISMIC,52640.344842282,60844.3750332501
EMCN,502641.413392117,4182515.92332929,1916,1927.59802246094,-11.59802246094,-0.605324763097077,SEISMIC,52641.413392117,57515.92332929
ESPC,502644.968423773,4171421.20585598,1655,1547.9150390625,107.0849609375,6.47039038897281,SEISMIC,52644.968423773,46421.2058559801
EMAS,504414.784547869,4159217.98733286,612,451.560699462891,160.439300537109,26.2155719831877,SEISMIC,54414.784547869,34217.98733286
EPIT,505281.402239725,4184736.1603297,1657,1535.14001464844,121.85998535156,7.35425379309354,SEISMIC,55281.402239725,59736.1603297
ECBD,507925.307291155,4181409.83315232,1465,1378.75598144531,86.24401855469,5.88696372386962,SEISMIC,57925.307291155,56409.8331523198
EMFO,507929.576433561,4176971.92946272,1209,1132.166015625,76.833984375,6.35516826923077,SEISMIC,57929.576433561,51971.9294627202
GIO,509713.826231868,4158113.05725309,200,329.808685302734,-129.808685302734,-64.904342651367,SEISMIC,59713.826231868,33113.0572530902
ECTS,510552.82613108,4192507.69122063,681,523.81591796875,157.18408203125,23.0813630001836,SEISMIC,60552.82613108,67507.69122063
ESAL,511450.751408855,4179195.01957277,768,769.279479980469,-1.27947998046898,-0.166598955790231,SEISMIC,61450.751408855,54195.0195727702
NOV,512286.619651017,4209152.83825087,775,677.648193359375,97.351806640625,12.5615234375,SEISMIC,62286.619651017,84152.8382508699
EVRN,512343.190011139,4171430.00291151,421,324.922088623047,96.077911376953,22.821356621604,SEISMIC,62343.190011139,46430.0029115099
EPMN,515842.075198847,4185859.21000014,541,444.339904785156,96.660095214844,17.866930723631,SEISMIC,65842.075198847,60859.2100001401
EPOZ,516755.973634728,4169218.84047479,124,54.6345901489258,69.3654098510742,55.9398466540921,SEISMIC,66755.973634728,44218.84047479
EFIU,518489.902094713,4182536.26302068,97,48.6130714416504,48.3869285583496,49.8834315034532,SEISMIC,68489.902094713,57536.2630206798
MCSR,520176.935276937,4212497.14442305,1064,1049.95397949219,14.04602050781,1.32011470938064,SEISMIC,70176.935276937,87497.1444230499
AIO,520201.622464572,4202511.41207472,751,700.881591796875,50.118408203125,6.6735563519474,SEISMIC,70201.622464572,77511.4120747196
MMME,521967.220569147,4199187.39441526,959,782.114685058594,176.885314941406,18.4447669386242,SEISMIC,71967.220569147,74187.3944152603
MPNC,530666.413454054,4222515.90298228,479,312.39111328125,166.60888671875,34.7826485842902,SEISMIC,80666.413454054,97515.9029822797
MALI,535095.142704072,4211438.15341191,1005,928.517517089844,76.482482910156,7.61019730449314,SEISMIC,85095.1427040719,86438.1534119099
ATN,540298.969086277,4223667.5463518,1130,952.443725585938,177.556274414062,15.7129446384126,SEISMIC,90298.969086277,98667.5463517997
CTNV,474654,4161001,N/A,423.401489257812,N/A,#VALUE!,GPS,24654,36001
ECES,475144,4188721,N/A,1156.61206054688,N/A,#VALUE!,GPS,25144,63721
PDG,488867,4177329,N/A,1163.67602539062,N/A,#VALUE!,GPS,38867,52329
EPZF,489129.2583,4186873.6798,1174.6629,1126.58801269531,48.07488730469,4.09265392690022,GPS,39129.2583,61873.6798
TUR,490508,4174002,N/A,1280.41198730469,N/A,#VALUE!,GPS,40508,49002
EVRS,491489,4170313,N/A,1030.126953125,N/A,#VALUE!,GPS,41489,45313
CAP,494784,4177300,N/A,1875.33898925781,N/A,#VALUE!,GPS,44784,52300
EMIR,495213,4173307,N/A,1583.71105957031,N/A,#VALUE!,GPS,45213,48307
EARS,495519,4168537,N/A,1152.0419921875,N/A,#VALUE!,GPS,45519,43537
NUN,495831,4179544,N/A,1784.5810546875,N/A,#VALUE!,GPS,45831,54544
